Provider Name,Provider Guid,EventID,Level,Task,Opcode,Keywords,TimeCreated SystemTime,EventRecordID,Correlation ActivityID,Execution ProcessID,Execution ThreadID,Channel,Computer,Security UserID,param1,param2
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-13 12:08:38.449903,2239,{5c725f44-5ff4-0000-1e6a-735cf45fd701},11188,7800,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,11188,LenovoCompanionAppPlugin
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-14 09:44:38.663607,2241,{5c725f44-5ff4-0001-5f84-775cf45fd701},12928,17020,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,12928,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-14 12:21:41.281887,2243,{5c725f44-5ff4-0001-42da-775cf45fd701},10124,12676,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,10124,LenovoCompanionAppPlugin
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-14 13:23:21.469408,2245,{5c725f44-5ff4-0000-3d20-7c5cf45fd701},14824,9732,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,14824,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:18:12.410944,2248,{5c725f44-5ff4-0002-9383-855cf45fd701},16432,17152,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,16432,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:19:08.393589,2251,{5c725f44-5ff4-0003-83c0-7c5cf45fd701},15240,6552,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15240,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:32:50.195715,2254,{5c725f44-5ff4-0002-7494-855cf45fd701},12344,18560,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,12344,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:39:51.882477,2257,{5c725f44-5ff4-0000-63ce-855cf45fd701},9996,19248,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,9996,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:41:48.980925,2260,{5c725f44-5ff4-0003-27d0-7c5cf45fd701},7272,14116,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,7272,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:42:23.259497,2263,{5c725f44-5ff4-0003-e0d1-7c5cf45fd701},14868,17136,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,14868,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:52:17.153008,2266,{5c725f44-5ff4-0003-3edf-7c5cf45fd701},2812,14316,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,2812,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:53:10.557100,2269,{5c725f44-5ff4-0001-24b9-7d5cf45fd701},17328,7508,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,17328,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:57:53.813606,2272,{5c725f44-5ff4-0000-cef8-855cf45fd701},15912,4596,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15912,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:59:21.455952,2275,{5c725f44-5ff4-0002-5ec3-855cf45fd701},16940,9124,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,16940,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 08:59:46.746937,2278,{5c725f44-5ff4-0003-e8ed-7c5cf45fd701},3088,16988,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,3088,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:01:21.559750,2281,{5c725f44-5ff4-0003-34ef-7c5cf45fd701},16468,16420,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,16468,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:02:04.446482,2284,{5c725f44-5ff4-0003-3af0-7c5cf45fd701},18260,17016,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,18260,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:04:06.165762,2287,{5c725f44-5ff4-0003-38f3-7c5cf45fd701},14588,11200,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,14588,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:06:23.613779,2290,{5c725f44-5ff4-0001-bbd4-7d5cf45fd701},5728,16484,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,5728,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:06:46.280333,2293,{5c725f44-5ff4-0002-51d8-855cf45fd701},14608,7024,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,14608,DefaultAppDomain
