Provider Name,Provider Guid,Provider EventSourceName,EventID Qualifiers,EventID,Level,Task,Opcode,Keywords,TimeCreated SystemTime,EventRecordID,Execution ProcessID,Execution ThreadID,Channel,Computer,Security UserID,ServiceName,ImagePath,ServiceType,StartType,AccountName
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:06:46.280333,2293,14608,7024,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:22:00.455467,2296,16088,5084,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:22:26.230030,2299,4856,3388,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:23:07.639885,2302,10512,2308,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:23:33.355621,2305,15816,1892,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:24:30.331907,2308,12588,18504,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:25:55.271975,2311,4864,18568,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:27:32.308107,2314,15380,18560,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:27:55.430069,2317,15868,19444,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:30:37.243727,2320,10448,8692,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:48:24.054939,2323,6028,6476,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:52:38.570852,2326,19228,12928,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
